timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,ppg_hr_bpm,ppg_spo2_pct,ppg_quality
2025-06-01T14:30:00.000,0.000,0,WE,R_Wrist,0x03,2,0,0.634,-0.304,-0.107,-0.952,+2.6,-1.3,-2.6,-0.322,-0.125,-0.963,29.00,62,98,89
2025-06-01T14:30:00.255,0.255,1,WE,R_Wrist,0x03,2,1,0.628,-0.297,-0.090,-0.955,-0.2,-2.1,-1.4,-0.302,-0.078,-0.929,28.97,62,98,87
2025-06-01T14:30:00.510,0.510,2,WE,R_Wrist,0x03,2,2,0.632,-0.284,-0.098,-0.943,+0.1,+0.4,-0.2,-0.290,-0.122,-0.961,28.98,62,98,88
2025-06-01T14:30:00.765,0.765,3,WE,R_Wrist,0x03,2,3,0.634,-0.312,-0.112,-0.916,-1.1,+1.8,-1.4,-0.309,-0.108,-0.928,29.00,61,98,81
2025-06-01T14:30:01.020,1.020,4,WE,R_Wrist,0x03,2,4,0.641,-0.287,-0.093,-0.943,+3.0,-1.4,-0.5,-0.286,-0.115,-0.931,29.00,61,98,75
2025-06-01T14:30:01.275,1.275,5,WE,R_Wrist,0x03,2,5,0.620,-0.309,-0.108,-0.944,-1.4,-0.5,+3.1,-0.315,-0.112,-0.942,28.97,61,97,88
2025-06-01T14:30:01.530,1.530,6,WE,R_Wrist,0x03,2,6,0.618,-0.317,-0.112,-0.951,-0.7,+1.5,+1.4,-0.300,-0.101,-0.948,28.98,62,99,85
2025-06-01T14:30:01.785,1.785,7,WE,R_Wrist,0x03,2,7,0.595,-0.295,-0.098,-0.911,-1.7,-1.7,-0.1,-0.268,-0.074,-0.939,29.06,64,98,84
2025-06-01T14:30:02.040,2.040,8,WE,R_Wrist,0x03,2,8,0.617,-0.298,-0.102,-0.950,-2.0,-0.4,-1.4,-0.309,-0.138,-0.950,29.01,61,98,89
2025-06-01T14:30:02.295,2.295,9,WE,R_Wrist,0x03,2,9,0.612,-0.305,-0.111,-0.924,+0.7,+2.8,-1.0,-0.334,-0.126,-0.931,29.04,61,98,82
2025-06-01T14:30:02.550,2.550,10,WE,R_Wrist,0x03,2,10,0.635,-0.299,-0.102,-0.940,-0.4,-0.2,-3.9,-0.291,-0.122,-0.955,29.06,63,98,82
2025-06-01T14:30:02.805,2.805,11,WE,R_Wrist,0x03,2,11,0.630,-0.303,-0.093,-0.963,-0.5,+0.9,+2.5,-0.302,-0.069,-0.974,29.03,62,98,82
2025-06-01T14:30:03.060,3.060,12,WE,R_Wrist,0x03,2,12,0.641,-0.301,-0.095,-0.919,+1.9,-0.7,-1.2,-0.292,-0.113,-0.924,29.11,62,99,89
2025-06-01T14:30:03.315,3.315,13,WE,R_Wrist,0x03,2,13,0.636,-0.290,-0.098,-0.946,-0.3,+0.5,-0.4,-0.303,-0.084,-0.930,28.96,61,98,87
2025-06-01T14:30:03.570,3.570,14,WE,R_Wrist,0x03,2,14,0.637,-0.303,-0.102,-0.958,+2.6,+1.8,+3.0,-0.296,-0.113,-0.921,29.04,62,98,79
2025-06-01T14:30:03.825,3.825,15,WE,R_Wrist,0x03,2,15,0.628,-0.301,-0.099,-0.933,+1.2,-2.7,+0.7,-0.319,-0.127,-0.930,28.98,63,98,89
2025-06-01T14:30:04.080,4.080,16,WE,R_Wrist,0x03,2,16,0.622,-0.310,-0.101,-0.948,+2.5,+0.8,-0.1,-0.287,-0.099,-0.919,29.09,60,98,84
2025-06-01T14:30:04.335,4.335,17,WE,R_Wrist,0x03,2,17,0.615,-0.286,-0.101,-0.949,-0.3,-0.5,+0.1,-0.252,-0.123,-0.946,29.09,61,98,86
2025-06-01T14:30:04.590,4.590,18,WE,R_Wrist,0x03,2,18,0.620,-0.292,-0.101,-0.941,+1.5,+0.4,+1.9,-0.309,-0.087,-0.969,28.90,60,98,82
2025-06-01T14:30:04.845,4.845,19,WE,R_Wrist,0x03,2,19,0.606,-0.299,-0.113,-0.953,-2.5,+1.7,+0.8,-0.350,-0.097,-0.952,28.95,60,98,90
2025-06-01T14:30:05.100,5.100,20,WE,R_Wrist,0x03,2,20,0.625,-0.310,-0.072,-0.845,-0.9,+2.2,+7.7,-0.319,-0.046,-0.819,29.03,61,98,94
