timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,resp_rate_bpm,ecg_hr_bpm,ecg_rmssd_ms,ecg_flags,bia_resistance_ohm,bia_reactance_ohm,bia_phase_deg,bia_impedance_ohm
2025-06-01T14:30:00.000,0.000,0,WA,Chest,0x55,2,0,0.328,-0.085,+0.094,-0.992,+1.5,+0.9,+1.2,-0.093,+0.101,-1.010,29.00,14,62,59,0,506.0,61.8,6.96,509.8
2025-06-01T14:30:00.255,0.255,1,WA,Chest,0x55,2,1,0.329,-0.048,+0.107,-0.973,-1.6,-0.7,-2.8,-0.054,+0.121,-0.945,28.97,14,62,59,0,503.2,62.8,7.12,507.1
2025-06-01T14:30:00.510,0.510,2,WA,Chest,0x55,2,2,0.315,-0.034,+0.113,-0.981,-1.8,+0.3,-0.5,-0.027,+0.117,-1.009,28.98,14,62,55,0,501.2,61.5,6.99,504.9
2025-06-01T14:30:00.765,0.765,3,WA,Chest,0x55,2,3,0.348,-0.049,+0.098,-0.984,-0.6,+1.3,+0.5,-0.055,+0.130,-0.960,29.00,13,61,59,0,505.6,61.8,6.97,509.4
2025-06-01T14:30:01.020,1.020,4,WA,Chest,0x55,2,4,0.320,-0.053,+0.099,-0.995,+1.2,-0.4,+0.6,-0.063,+0.123,-0.970,29.00,14,61,58,0,506.1,61.9,6.98,509.9
2025-06-01T14:30:01.275,1.275,5,WA,Chest,0x55,2,5,0.323,-0.054,+0.085,-0.979,-1.6,+1.0,+0.8,-0.021,+0.069,-0.984,28.97,14,61,59,0,504.3,63.3,7.15,508.2
2025-06-01T14:30:01.530,1.530,6,WA,Chest,0x55,2,6,0.305,-0.067,+0.091,-0.996,-1.2,-1.8,+1.5,-0.071,+0.093,-0.998,28.98,14,62,59,0,504.6,61.9,6.99,508.4
2025-06-01T14:30:01.785,1.785,7,WA,Chest,0x55,2,7,0.294,-0.052,+0.104,-0.995,+0.5,-1.1,-0.1,-0.072,+0.087,-1.008,29.06,14,64,57,0,503.3,61.5,6.97,507.1
2025-06-01T14:30:02.040,2.040,8,WA,Chest,0x55,2,8,0.310,-0.044,+0.100,-0.995,-1.6,+0.3,+0.7,-0.034,+0.112,-0.997,29.01,14,61,55,0,505.9,62.3,7.02,509.8
2025-06-01T14:30:02.295,2.295,9,WA,Chest,0x55,2,9,0.314,-0.053,+0.092,-0.983,+3.7,-0.5,+0.7,-0.016,+0.075,-0.971,29.04,14,61,59,0,505.0,61.6,6.95,508.7
