timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,eeg_delta,eeg_theta,eeg_alpha,eeg_beta,eeg_gamma
2025-06-01T14:30:00.000,0.000,0,HEAD,Head_main,0x09,2,0,-0.391,+0.899,+0.069,+2.9,+1.8,+4.7,-0.392,+0.907,+0.093,29.00,0.346,0.197,0.235,0.146,0.076
2025-06-01T14:30:00.255,0.255,1,HEAD,Head_main,0x09,2,1,-0.381,+0.897,+0.062,-0.4,+1.4,-6.8,-0.370,+0.870,+0.046,28.97,0.349,0.191,0.227,0.139,0.094
2025-06-01T14:30:00.510,0.510,2,HEAD,Head_main,0x09,2,2,-0.399,+0.913,+0.071,+0.6,-0.3,-3.3,-0.425,+0.920,+0.078,28.98,0.340,0.196,0.220,0.160,0.085
2025-06-01T14:30:00.765,0.765,3,HEAD,Head_main,0x09,2,3,-0.390,+0.898,+0.076,+0.1,+3.0,+1.1,-0.389,+0.898,+0.070,29.00,0.358,0.222,0.211,0.156,0.053
2025-06-01T14:30:01.020,1.020,4,HEAD,Head_main,0x09,2,4,-0.395,+0.900,+0.061,+0.7,+1.7,+0.1,-0.398,+0.900,+0.060,29.00,0.349,0.192,0.219,0.160,0.080
2025-06-01T14:30:01.275,1.275,5,HEAD,Head_main,0x09,2,5,-0.421,+0.893,+0.094,-0.8,+0.4,-3.7,-0.431,+0.858,+0.088,28.97,0.337,0.206,0.223,0.167,0.067
2025-06-01T14:30:01.530,1.530,6,HEAD,Head_main,0x09,2,6,-0.405,+0.892,+0.080,+1.0,+0.9,+2.2,-0.374,+0.895,+0.091,28.98,0.351,0.192,0.219,0.146,0.091
2025-06-01T14:30:01.785,1.785,7,HEAD,Head_main,0x09,2,7,-0.404,+0.918,+0.068,+1.5,+3.3,-0.9,-0.437,+0.921,+0.044,29.06,0.344,0.190,0.200,0.159,0.106
2025-06-01T14:30:02.040,2.040,8,HEAD,Head_main,0x09,2,8,-0.396,+0.899,+0.072,+0.5,-0.0,+0.1,-0.398,+0.925,+0.067,29.01,0.350,0.191,0.233,0.150,0.076
2025-06-01T14:30:02.295,2.295,9,HEAD,Head_main,0x09,2,9,-0.392,+0.887,+0.062,-0.7,-2.0,+0.8,-0.390,+0.889,+0.069,29.04,0.348,0.212,0.213,0.147,0.080
2025-06-01T14:30:02.550,2.550,10,HEAD,Head_main,0x09,2,10,-0.404,+0.892,+0.054,-1.3,+0.7,-2.4,-0.401,+0.891,+0.072,29.06,0.349,0.219,0.211,0.146,0.076
2025-06-01T14:30:02.805,2.805,11,HEAD,Head_main,0x09,2,11,-0.390,+0.907,+0.074,-2.5,-1.1,+2.2,-0.363,+0.893,+0.096,29.03,0.354,0.202,0.214,0.148,0.082
2025-06-01T14:30:03.060,3.060,12,HEAD,Head_main,0x09,2,12,-0.403,+0.893,+0.062,+0.6,-2.7,+2.2,-0.446,+0.903,+0.066,29.11,0.344,0.192,0.217,0.161,0.086
2025-06-01T14:30:03.315,3.315,13,HEAD,Head_main,0x09,2,13,-0.397,+0.890,+0.078,-4.0,-1.8,+0.7,-0.405,+0.906,+0.101,28.96,0.347,0.200,0.217,0.146,0.090
2025-06-01T14:30:03.570,3.570,14,HEAD,Head_main,0x09,2,14,-0.385,+0.889,+0.053,-0.0,+0.2,-1.4,-0.403,+0.903,+0.079,29.04,0.368,0.200,0.211,0.151,0.071
2025-06-01T14:30:03.825,3.825,15,HEAD,Head_main,0x09,2,15,-0.408,+0.916,+0.059,-2.4,-0.6,+2.7,-0.437,+0.933,+0.057,28.98,0.353,0.203,0.206,0.144,0.094
2025-06-01T14:30:04.080,4.080,16,HEAD,Head_main,0x09,2,16,-0.393,+0.900,+0.055,-0.1,+4.4,+1.3,-0.406,+0.897,+0.094,29.09,0.359,0.200,0.220,0.151,0.070
2025-06-01T14:30:04.335,4.335,17,HEAD,Head_main,0x09,2,17,-0.389,+0.884,+0.065,-0.8,+2.7,-0.5,-0.383,+0.857,+0.096,29.09,0.350,0.203,0.222,0.142,0.083
2025-06-01T14:30:04.590,4.590,18,HEAD,Head_main,0x09,2,18,-0.400,+0.895,+0.036,+1.8,-2.8,-1.1,-0.408,+0.897,+0.031,28.90,0.346,0.205,0.215,0.144,0.091
2025-06-01T14:30:04.845,4.845,19,HEAD,Head_main,0x09,2,19,-0.416,+0.894,+0.065,-0.7,+2.2,-2.4,-0.379,+0.922,+0.063,28.95,0.357,0.194,0.214,0.149,0.087
2025-06-01T14:30:05.100,5.100,20,HEAD,Head_main,0x09,2,20,-0.394,+0.940,+0.238,+2.1,+3.5,+4.8,-0.426,+0.964,+0.230,29.03,0.299,0.183,0.158,0.255,0.105
2025-06-01T14:30:05.355,5.355,21,HEAD,Head_main,0x09,2,21,-0.409,+0.933,+0.166,+2.1,+7.7,+21.0,-0.404,+0.920,+0.164,29.05,0.309,0.167,0.163,0.255,0.106
2025-06-01T14:30:05.610,5.610,22,HEAD,Head_main,0x09,2,22,-0.398,+0.893,+0.078,+1.0,+9.8,+24.1,-0.393,+0.933,+0.085,29.05,0.297,0.177,0.173,0.246,0.106
2025-06-01T14:30:05.865,5.865,23,HEAD,Head_main,0x09,2,23,-0.412,+0.867,-0.042,+0.9,+7.3,+22.8,-0.411,+0.894,-0.036,29.01,0.299,0.167,0.151,0.272,0.110
2025-06-01T14:30:06.120,6.120,24,HEAD,Head_main,0x09,2,24,-0.395,+0.850,-0.091,+4.8,+1.8,+6.0,-0.384,+0.866,-0.099,29.04,0.277,0.175,0.172,0.258,0.119
2025-06-01T14:30:06.375,6.375,25,HEAD,Head_main,0x09,2,25,-0.380,+0.854,-0.103,+0.7,-4.6,-10.2,-0.387,+0.835,-0.093,29.06,0.297,0.174,0.172,0.259,0.099
