timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,ppg_hr_bpm,ppg_spo2_pct,ppg_quality
2026-06-05T15:00:00.000,0.000,0,WE,R_Wrist,0x03,2,0,0.603,+0.143,-1.002,-0.005,-0.0,+0.3,+1.4,+0.102,-0.962,+0.023,28.98,64,98,91
2026-06-05T15:00:00.255,0.255,1,WE,R_Wrist,0x03,2,1,0.597,+0.182,-0.980,-0.004,-0.2,+0.6,+0.6,+0.159,-0.973,+0.029,29.00,64,98,90
2026-06-05T15:00:00.510,0.510,2,WE,R_Wrist,0x03,2,2,0.620,+0.196,-1.037,-0.031,-1.0,+0.6,+0.4,+0.177,-1.000,-0.014,29.03,66,98,89
2026-06-05T15:00:00.765,0.765,3,WE,R_Wrist,0x03,2,3,0.603,+0.207,-1.000,-0.021,-1.6,-0.5,-1.4,+0.161,-0.993,-0.020,29.01,64,98,89
2026-06-05T15:00:01.020,1.020,4,WE,R_Wrist,0x03,2,4,0.599,+0.162,-0.994,-0.001,-0.7,-1.2,+1.3,+0.123,-0.954,-0.016,28.99,64,98,92
2026-06-05T15:00:01.274,1.275,5,WE,R_Wrist,0x03,2,5,0.597,+0.179,-0.996,+0.009,+2.1,+1.0,-0.5,+0.198,-0.960,-0.003,28.97,65,98,90
2026-06-05T15:00:01.530,1.530,6,WE,R_Wrist,0x03,2,6,0.594,+0.222,-0.999,+0.050,-1.1,-0.6,+1.2,+0.166,-0.979,+0.067,28.99,64,98,87
2026-06-05T15:00:01.785,1.785,7,WE,R_Wrist,0x03,2,7,0.609,+0.142,-1.023,+0.007,+1.2,-2.0,+0.5,+0.145,-0.991,-0.007,29.01,65,98,92
2026-06-05T15:00:02.040,2.040,8,WE,R_Wrist,0x03,2,8,0.597,+0.178,-0.977,-0.001,+0.1,+1.2,-3.3,+0.160,-0.984,+0.001,28.99,64,98,91
2026-06-05T15:00:02.294,2.295,9,WE,R_Wrist,0x03,2,9,0.600,+0.215,-0.980,-0.011,+2.5,+0.7,+0.1,+0.207,-0.960,-0.039,29.05,65,98,92
