timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2025-06-01T15:00:00.000,0.000,0,WG,R_Knee,0x21,2,0,0.840,-0.039,-0.963,+0.065,+0.6,+1.6,+1.2,+0.002,-0.943,+0.083,29.04,0.020,0.035,0.040,0.030
2025-06-01T15:00:00.255,0.255,1,WG,R_Knee,0x21,2,1,0.844,-0.058,-0.988,+0.058,+0.1,-1.5,+1.0,-0.059,-0.970,+0.023,28.99,0.008,0.009,0.026,0.023
2025-06-01T15:00:00.510,0.510,2,WG,R_Knee,0x21,2,2,0.839,-0.044,-0.981,+0.083,+1.8,-0.4,+3.9,-0.028,-0.964,+0.071,29.12,0.013,0.020,0.036,0.020
2025-06-01T15:00:00.765,0.765,3,WG,R_Knee,0x21,2,3,0.861,-0.043,-0.992,+0.067,+1.4,+0.6,-3.8,-0.018,-1.000,+0.035,28.95,0.017,0.025,0.025,0.022
2025-06-01T15:00:01.020,1.020,4,WG,R_Knee,0x21,2,4,0.895,-0.046,-0.958,+0.084,-1.6,+1.3,+2.0,-0.058,-0.968,+0.103,28.93,0.016,0.021,0.028,0.028
2025-06-01T15:00:01.275,1.275,5,WG,R_Knee,0x21,2,5,0.853,-0.059,-0.974,+0.061,+2.8,+0.4,-3.6,-0.060,-0.959,+0.093,29.01,0.030,0.038,0.030,0.023
2025-06-01T15:00:01.530,1.530,6,WG,R_Knee,0x21,2,6,0.844,-0.057,-0.988,+0.065,+1.8,+1.0,+0.7,-0.032,-0.948,+0.053,29.07,0.020,0.033,0.024,0.021
2025-06-01T15:00:01.785,1.785,7,WG,R_Knee,0x21,2,7,0.882,-0.038,-0.990,+0.073,+1.4,+1.0,+0.5,-0.037,-0.968,+0.084,29.00,0.017,0.022,0.028,0.030
2025-06-01T15:00:02.040,2.040,8,WG,R_Knee,0x21,2,8,0.865,-0.053,-0.977,+0.071,-1.9,-2.6,+1.1,-0.043,-0.974,+0.047,29.05,0.011,0.014,0.023,0.027
2025-06-01T15:00:02.295,2.295,9,WG,R_Knee,0x21,2,9,0.844,-0.034,-0.985,+0.091,+0.1,-1.2,+1.9,-0.005,-1.007,+0.053,28.97,0.011,0.017,0.032,0.030
2025-06-01T15:00:02.550,2.550,10,WG,R_Knee,0x21,2,10,0.840,-0.054,-0.985,+0.080,-0.6,-2.2,-1.6,-0.072,-0.969,+0.117,28.94,0.016,0.015,0.031,0.023
2025-06-01T15:00:02.805,2.805,11,WG,R_Knee,0x21,2,11,0.849,-0.061,-0.978,+0.088,+2.2,+0.6,-2.9,-0.083,-0.993,+0.082,29.07,0.025,0.032,0.032,0.022
2025-06-01T15:00:03.060,3.060,12,WG,R_Knee,0x21,2,12,0.833,-0.065,-0.981,+0.096,-1.0,+0.2,-1.2,-0.025,-0.956,+0.136,29.08,0.018,0.026,0.025,0.023
2025-06-01T15:00:03.315,3.315,13,WG,R_Knee,0x21,2,13,0.828,-0.046,-0.985,+0.088,-0.1,+1.2,-1.6,-0.037,-1.006,+0.124,29.08,0.008,0.009,0.022,0.020
2025-06-01T15:00:03.570,3.570,14,WG,R_Knee,0x21,2,14,0.866,-0.043,-0.977,+0.086,-0.4,+1.0,+0.8,-0.021,-0.958,+0.072,28.98,0.016,0.019,0.026,0.024
2025-06-01T15:00:03.825,3.825,15,WG,R_Knee,0x21,2,15,0.845,-0.051,-0.969,+0.073,+2.5,-2.4,+0.3,-0.027,-0.949,+0.081,28.94,0.014,0.017,0.021,0.029
2025-06-01T15:00:04.080,4.080,16,WG,R_Knee,0x21,2,16,0.865,-0.040,-0.982,+0.087,-0.6,+1.2,+1.9,-0.023,-0.972,+0.073,28.94,0.018,0.027,0.043,0.033
2025-06-01T15:00:04.335,4.335,17,WG,R_Knee,0x21,2,17,0.811,-0.066,-1.000,+0.080,-1.8,+0.3,+1.1,-0.052,-0.951,+0.098,28.99,0.013,0.021,0.023,0.030
2025-06-01T15:00:04.590,4.590,18,WG,R_Knee,0x21,2,18,0.851,-0.069,-0.978,+0.076,+0.6,-1.4,+0.7,-0.089,-1.018,+0.082,29.03,0.000,0.017,0.030,0.021
2025-06-01T15:00:04.845,4.845,19,WG,R_Knee,0x21,2,19,0.878,-0.052,-1.003,+0.070,+1.5,+0.4,+0.9,-0.046,-0.979,+0.071,29.03,0.025,0.022,0.030,0.023
2025-06-01T15:00:05.100,5.100,20,WG,R_Knee,0x21,2,20,0.865,-0.049,-0.820,+0.162,+6.8,+0.8,+24.2,-0.082,-0.815,+0.169,28.93,0.056,0.063,0.034,0.021
2025-06-01T15:00:05.355,5.355,21,WG,R_Knee,0x21,2,21,0.845,-0.007,-0.859,+0.181,+25.8,+13.4,+76.5,-0.023,-0.864,+0.184,29.02,0.077,0.083,0.028,0.026
2025-06-01T15:00:05.610,5.610,22,WG,R_Knee,0x21,2,22,0.805,+0.051,-0.939,+0.301,+33.9,+15.3,+108.2,+0.099,-0.932,+0.338,29.01,0.161,0.153,0.023,0.028
2025-06-01T15:00:05.865,5.865,23,WG,R_Knee,0x21,2,23,0.736,+0.155,-1.027,+0.402,+35.1,+16.0,+114.2,+0.139,-1.033,+0.391,29.02,0.201,0.195,0.025,0.039
2025-06-01T15:00:06.120,6.120,24,WG,R_Knee,0x21,2,24,0.723,+0.236,-1.124,+0.487,+24.8,+10.8,+84.0,+0.259,-1.125,+0.472,29.02,0.211,0.186,0.024,0.021
2025-06-01T15:00:06.375,6.375,25,WG,R_Knee,0x21,2,25,0.669,+0.286,-1.158,+0.534,+7.1,+5.3,+28.3,+0.294,-1.179,+0.546,29.02,0.214,0.197,0.024,0.026
2025-06-01T15:00:06.630,6.630,26,WG,R_Knee,0x21,2,26,0.687,+0.267,-1.136,+0.548,-13.6,-3.6,-30.8,+0.265,-1.153,+0.525,29.06,0.345,0.307,0.022,0.034
2025-06-01T15:00:06.885,6.885,27,WG,R_Knee,0x21,2,27,0.684,+0.235,-1.123,+0.467,-27.5,-10.3,-81.2,+0.246,-1.085,+0.473,29.04,0.547,0.493,0.024,0.031
2025-06-01T15:00:07.140,7.140,28,WG,R_Knee,0x21,2,28,0.713,+0.162,-1.042,+0.402,-36.7,-18.2,-111.5,+0.190,-1.007,+0.407,29.05,0.633,0.565,0.022,0.022
2025-06-01T15:00:07.395,7.395,29,WG,R_Knee,0x21,2,29,0.788,+0.084,-0.902,+0.303,-38.2,-17.2,-111.1,+0.065,-0.906,+0.313,29.01,0.480,0.424,0.024,0.034
2025-06-01T15:00:07.650,7.650,30,WG,R_Knee,0x21,2,30,0.826,-0.003,-0.850,+0.214,-19.3,-8.9,-75.3,+0.013,-0.842,+0.243,29.07,0.249,0.224,0.024,0.032
2025-06-01T15:00:07.905,7.905,31,WG,R_Knee,0x21,2,31,0.852,-0.040,-0.824,+0.149,-4.8,-1.6,-19.8,-0.040,-0.855,+0.140,29.05,0.106,0.099,0.030,0.028
2025-06-01T15:00:08.160,8.160,32,WG,R_Knee,0x21,2,32,0.841,-0.048,-0.817,+0.170,+9.1,+5.3,+36.3,-0.053,-0.789,+0.158,28.95,0.059,0.066,0.029,0.023
2025-06-01T15:00:08.415,8.415,33,WG,R_Knee,0x21,2,33,0.814,+0.017,-0.879,+0.216,+25.7,+14.2,+87.9,+0.021,-0.898,+0.214,29.09,0.088,0.096,0.023,0.025
2025-06-01T15:00:08.670,8.670,34,WG,R_Knee,0x21,2,34,0.743,+0.069,-0.942,+0.325,+38.4,+16.8,+110.9,+0.097,-0.941,+0.350,29.06,0.184,0.164,0.028,0.021
2025-06-01T15:00:08.925,8.925,35,WG,R_Knee,0x21,2,35,0.744,+0.156,-1.052,+0.416,+34.3,+17.2,+105.2,+0.170,-1.018,+0.420,29.12,0.183,0.172,0.032,0.024
2025-06-01T15:00:09.180,9.180,36,WG,R_Knee,0x21,2,36,0.716,+0.240,-1.135,+0.524,+21.6,+13.1,+71.9,+0.269,-1.144,+0.520,29.07,0.210,0.199,0.023,0.022
2025-06-01T15:00:09.435,9.435,37,WG,R_Knee,0x21,2,37,0.667,+0.273,-1.172,+0.546,+3.2,+2.5,+16.8,+0.281,-1.155,+0.533,29.08,0.233,0.212,0.022,0.024
2025-06-01T15:00:09.690,9.690,38,WG,R_Knee,0x21,2,38,0.649,+0.256,-1.142,+0.549,-8.4,-5.6,-46.8,+0.280,-1.156,+0.555,29.10,0.383,0.344,0.024,0.025
2025-06-01T15:00:09.945,9.945,39,WG,R_Knee,0x21,2,39,0.699,+0.204,-1.074,+0.468,-27.1,-15.4,-92.1,+0.224,-1.065,+0.473,29.09,0.585,0.519,0.031,0.033
2025-06-01T15:00:10.200,10.200,40,WG,R_Knee,0x21,2,40,0.766,+0.134,-0.982,+0.377,-31.9,-16.0,-111.2,+0.123,-0.981,+0.386,29.08,0.598,0.543,0.024,0.031
2025-06-01T15:00:10.455,10.455,41,WG,R_Knee,0x21,2,41,0.797,+0.029,-0.902,+0.267,-33.1,-15.4,-104.4,+0.021,-0.881,+0.282,29.01,0.438,0.386,0.031,0.025
2025-06-01T15:00:10.710,10.710,42,WG,R_Knee,0x21,2,42,0.800,-0.018,-0.827,+0.193,-24.3,-9.5,-68.7,-0.022,-0.811,+0.161,29.20,0.211,0.197,0.020,0.020
2025-06-01T15:00:10.965,10.965,43,WG,R_Knee,0x21,2,43,0.851,-0.062,-0.808,+0.171,-0.9,-0.6,-7.6,-0.059,-0.804,+0.184,29.03,0.062,0.058,0.027,0.025
2025-06-01T15:00:11.220,11.220,44,WG,R_Knee,0x21,2,44,0.828,-0.018,-0.822,+0.170,+16.4,+6.9,+51.7,+0.016,-0.822,+0.203,29.10,0.060,0.063,0.020,0.037
2025-06-01T15:00:11.475,11.475,45,WG,R_Knee,0x21,2,45,0.811,+0.018,-0.862,+0.257,+30.8,+16.0,+95.9,+0.022,-0.848,+0.266,29.15,0.097,0.089,0.021,0.034
2025-06-01T15:00:11.730,11.730,46,WG,R_Knee,0x21,2,46,0.762,+0.112,-0.966,+0.358,+30.5,+17.4,+116.0,+0.120,-0.951,+0.344,29.15,0.195,0.178,0.024,0.023
2025-06-01T15:00:11.985,11.985,47,WG,R_Knee,0x21,2,47,0.710,+0.187,-1.055,+0.458,+31.7,+15.5,+103.0,+0.214,-1.095,+0.480,29.16,0.213,0.198,0.023,0.028
2025-06-01T15:00:12.240,12.240,48,WG,R_Knee,0x21,2,48,0.694,+0.229,-1.142,+0.537,+19.0,+7.4,+60.7,+0.214,-1.125,+0.497,29.17,0.181,0.165,0.032,0.023
2025-06-01T15:00:12.495,12.495,49,WG,R_Knee,0x21,2,49,0.665,+0.285,-1.136,+0.565,-1.0,+1.9,+2.2,+0.296,-1.167,+0.581,29.20,0.257,0.233,0.021,0.022
2025-06-01T15:00:12.750,12.750,50,WG,R_Knee,0x21,2,50,0.662,+0.254,-1.144,+0.519,-17.7,-9.1,-53.8,+0.238,-1.130,+0.544,29.16,0.441,0.394,0.027,0.026
2025-06-01T15:00:13.005,13.005,51,WG,R_Knee,0x21,2,51,0.709,+0.193,-1.043,+0.453,-30.2,-14.6,-99.6,+0.202,-1.045,+0.443,29.30,0.602,0.537,0.021,0.032
2025-06-01T15:00:13.260,13.260,52,WG,R_Knee,0x21,2,52,0.784,+0.105,-0.965,+0.343,-36.6,-17.4,-115.6,+0.096,-0.972,+0.337,29.10,0.598,0.531,0.022,0.030
2025-06-01T15:00:13.515,13.515,53,WG,R_Knee,0x21,2,53,0.803,+0.025,-0.885,+0.249,-28.7,-17.4,-94.8,-0.016,-0.874,+0.262,29.17,0.368,0.327,0.023,0.022
