timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WG,R_Knee,0x21,2,0,2.213,-0.872,-0.031,+0.270,-179.5,+97.2,+56.3,+0.995,+0.097,-0.026,29.0
2025-06-01T15:00:00.016,0.017,1,WG,R_Knee,0x21,2,1,2.213,-0.888,-0.027,+0.221,-177.9,+93.3,+61.8,+0.997,+0.081,+0.007,29.0
2025-06-01T15:00:00.033,0.033,2,WG,R_Knee,0x21,2,2,2.213,-0.905,-0.024,+0.184,-172.5,+84.3,+66.7,+0.997,+0.061,+0.036,29.0
2025-06-01T15:00:00.050,0.050,3,WG,R_Knee,0x21,2,3,2.212,-0.923,-0.021,+0.155,-126.1,+60.0,+53.2,+0.997,+0.039,+0.062,29.0
2025-06-01T15:00:00.066,0.067,4,WG,R_Knee,0x21,2,4,2.212,-0.932,-0.020,+0.141,-120.2,+53.9,+54.6,+0.997,+0.027,+0.074,29.0
2025-06-01T15:00:00.083,0.083,5,WG,R_Knee,0x21,2,5,2.212,-0.949,-0.017,+0.114,-154.7,+67.8,+75.9,+0.995,+0.001,+0.095,29.0
2025-06-01T15:00:00.100,0.100,6,WG,R_Knee,0x21,2,6,2.212,-0.965,-0.014,+0.087,-145.7,+60.9,+78.0,+0.993,-0.026,+0.113,29.0
2025-06-01T15:00:00.116,0.117,7,WG,R_Knee,0x21,2,7,2.212,-0.979,-0.009,+0.064,-103.6,+42.0,+59.2,+0.990,-0.053,+0.128,29.0
2025-06-01T15:00:00.133,0.133,8,WG,R_Knee,0x21,2,8,2.212,-0.985,-0.006,+0.056,-93.4,+34.4,+57.1,+0.989,-0.067,+0.134,29.0
2025-06-01T15:00:00.150,0.150,9,WG,R_Knee,0x21,2,9,2.212,-0.996,+0.001,+0.049,-112.8,+39.8,+73.1,+0.985,-0.094,+0.144,29.0
2025-06-01T15:00:00.166,0.167,10,WG,R_Knee,0x21,2,10,2.212,-1.005,+0.010,+0.052,-74.7,+25.4,+51.5,+0.981,-0.118,+0.151,29.0
2025-06-01T15:00:00.183,0.183,11,WG,R_Knee,0x21,2,11,2.212,-1.009,+0.014,+0.057,-59.1,+20.0,+44.8,+0.980,-0.130,+0.154,29.0
2025-06-01T15:00:00.200,0.200,12,WG,R_Knee,0x21,2,12,2.213,-1.018,+0.020,+0.073,-62.4,+24.4,+52.9,+0.976,-0.149,+0.158,29.0
2025-06-01T15:00:00.216,0.217,13,WG,R_Knee,0x21,2,13,2.213,-1.032,+0.023,+0.095,-39.6,+23.2,+43.8,+0.973,-0.165,+0.162,29.0
2025-06-01T15:00:00.233,0.233,14,WG,R_Knee,0x21,2,14,2.213,-1.047,+0.025,+0.117,-16.2,+18.3,+27.9,+0.970,-0.178,+0.167,29.0
2025-06-01T15:00:00.250,0.250,15,WG,R_Knee,0x21,2,15,2.214,-1.052,+0.028,+0.126,+3.6,+21.7,+20.2,+0.968,-0.183,+0.171,29.0
2025-06-01T15:00:00.266,0.267,16,WG,R_Knee,0x21,2,16,2.214,-1.055,+0.034,+0.129,+24.5,+32.8,+17.5,+0.965,-0.189,+0.180,29.0
2025-06-01T15:00:00.283,0.283,17,WG,R_Knee,0x21,2,17,2.214,-1.052,+0.031,+0.116,+32.0,+26.8,+6.1,+0.963,-0.190,+0.192,29.0
2025-06-01T15:00:00.300,0.300,18,WG,R_Knee,0x21,2,18,2.215,-1.053,+0.025,+0.109,+44.6,+28.5,+0.8,+0.962,-0.189,+0.198,29.0
2025-06-01T15:00:00.316,0.317,19,WG,R_Knee,0x21,2,19,2.215,-1.059,+0.012,+0.110,+65.8,+41.4,+0.4,+0.960,-0.185,+0.213,29.0
2025-06-01T15:00:00.333,0.333,20,WG,R_Knee,0x21,2,20,2.215,-1.061,+0.019,+0.137,+70.1,+49.3,+1.9,+0.957,-0.181,+0.229,29.0
2025-06-01T15:00:00.350,0.350,21,WG,R_Knee,0x21,2,21,2.217,-1.056,+0.056,+0.173,+53.5,+42.3,+1.9,+0.953,-0.177,+0.247,29.0
2025-06-01T15:00:00.366,0.367,22,WG,R_Knee,0x21,2,22,2.217,-1.054,+0.082,+0.187,+53.3,+46.8,+2.3,+0.950,-0.174,+0.258,29.0
2025-06-01T15:00:00.383,0.383,23,WG,R_Knee,0x21,2,23,2.217,-1.062,+0.133,+0.205,+69.5,+61.8,+2.8,+0.945,-0.170,+0.278,29.0
2025-06-01T15:00:00.400,0.400,24,WG,R_Knee,0x21,2,24,2.219,-1.085,+0.176,+0.220,+50.5,+44.6,+2.0,+0.940,-0.165,+0.298,29.0
2025-06-01T15:00:00.416,0.417,25,WG,R_Knee,0x21,2,25,2.219,-1.096,+0.193,+0.231,+48.1,+42.0,+2.1,+0.938,-0.162,+0.308,29.0
2025-06-01T15:00:00.433,0.433,26,WG,R_Knee,0x21,2,26,2.219,-1.109,+0.217,+0.260,+62.1,+55.0,+1.4,+0.932,-0.157,+0.326,29.0
2025-06-01T15:00:00.450,0.450,27,WG,R_Knee,0x21,2,27,2.223,-1.103,+0.222,+0.279,+45.1,+40.6,+0.1,+0.927,-0.151,+0.343,29.0
2025-06-01T15:00:00.466,0.467,28,WG,R_Knee,0x21,2,28,2.223,-1.094,+0.218,+0.279,+43.1,+37.4,-0.1,+0.924,-0.148,+0.352,29.0
2025-06-01T15:00:00.483,0.483,29,WG,R_Knee,0x21,2,29,2.223,-1.070,+0.197,+0.257,+55.9,+42.9,-0.3,+0.919,-0.142,+0.367,29.0
2025-06-01T15:00:00.500,0.500,30,WG,R_Knee,0x21,2,30,2.225,-1.044,+0.168,+0.214,+55.4,+31.9,-0.8,+0.915,-0.136,+0.379,29.0
2025-06-01T15:00:00.516,0.517,31,WG,R_Knee,0x21,2,31,2.225,-1.024,+0.136,+0.161,+42.5,+18.3,-1.7,+0.912,-0.130,+0.388,29.0
2025-06-01T15:00:00.533,0.533,32,WG,R_Knee,0x21,2,32,2.225,-1.020,+0.118,+0.133,+44.6,+13.1,-4.0,+0.911,-0.126,+0.392,29.0
2025-06-01T15:00:00.550,0.550,33,WG,R_Knee,0x21,2,33,2.226,-1.025,+0.075,+0.076,+59.6,+13.3,-5.8,+0.910,-0.117,+0.399,29.0
2025-06-01T15:00:00.566,0.567,34,WG,R_Knee,0x21,2,34,2.226,-1.043,+0.027,+0.029,+55.9,+8.6,-2.1,+0.909,-0.109,+0.403,29.0
2025-06-01T15:00:00.583,0.583,35,WG,R_Knee,0x21,2,35,2.226,-1.055,-0.005,+0.000,+38.3,+4.6,+2.5,+0.908,-0.103,+0.407,29.0
2025-06-01T15:00:00.600,0.600,36,WG,R_Knee,0x21,2,36,2.228,-1.055,-0.007,-0.009,+33.2,+4.3,+7.1,+0.907,-0.101,+0.408,29.0
2025-06-01T15:00:00.616,0.617,37,WG,R_Knee,0x21,2,37,2.228,-1.049,+0.013,-0.024,+40.5,+5.0,+10.5,+0.906,-0.099,+0.411,29.0
2025-06-01T15:00:00.633,0.633,38,WG,R_Knee,0x21,2,38,2.228,-1.052,+0.047,-0.044,+36.1,+1.8,+10.2,+0.906,-0.097,+0.413,29.0
2025-06-01T15:00:00.650,0.650,39,WG,R_Knee,0x21,2,39,2.230,-1.072,+0.074,-0.057,+24.7,-1.4,+7.5,+0.905,-0.096,+0.414,29.0
2025-06-01T15:00:00.666,0.667,40,WG,R_Knee,0x21,2,40,2.230,-1.083,+0.084,-0.058,+21.5,-3.8,+8.0,+0.905,-0.095,+0.414,29.0
2025-06-01T15:00:00.683,0.683,41,WG,R_Knee,0x21,2,41,2.230,-1.095,+0.099,-0.043,+25.9,-4.5,+10.5,+0.906,-0.095,+0.413,29.0
2025-06-01T15:00:00.700,0.700,42,WG,R_Knee,0x21,2,42,2.233,-1.081,+0.107,-0.017,+22.7,-1.5,+10.0,+0.906,-0.094,+0.413,29.0
2025-06-01T15:00:00.716,0.717,43,WG,R_Knee,0x21,2,43,2.233,-1.047,+0.104,+0.006,+15.3,+0.9,+7.3,+0.906,-0.094,+0.413,29.0
2025-06-01T15:00:00.733,0.733,44,WG,R_Knee,0x21,2,44,2.233,-1.025,+0.100,+0.015,+13.1,+2.6,+7.5,+0.905,-0.094,+0.414,29.0
2025-06-01T15:00:00.750,0.750,45,WG,R_Knee,0x21,2,45,2.234,-0.981,+0.091,+0.030,+15.7,+4.9,+9.9,+0.905,-0.095,+0.416,29.0
2025-06-01T15:00:00.766,0.767,46,WG,R_Knee,0x21,2,46,2.234,-0.948,+0.089,+0.051,+10.6,+5.2,+7.0,+0.904,-0.096,+0.418,29.0
2025-06-01T15:00:00.783,0.783,47,WG,R_Knee,0x21,2,47,2.234,-0.941,+0.090,+0.065,+9.9,+9.4,+6.2,+0.903,-0.096,+0.419,29.0
2025-06-01T15:00:00.800,0.800,48,WG,R_Knee,0x21,2,48,2.235,-0.944,+0.094,+0.095,+13.3,+18.0,+7.7,+0.901,-0.097,+0.423,29.0
2025-06-01T15:00:00.816,0.817,49,WG,R_Knee,0x21,2,49,2.235,-0.958,+0.098,+0.117,+14.1,+23.4,+6.9,+0.898,-0.097,+0.429,29.0
2025-06-01T15:00:00.833,0.833,50,WG,R_Knee,0x21,2,50,2.235,-0.968,+0.102,+0.123,+11.3,+18.7,+4.6,+0.895,-0.097,+0.436,29.0
2025-06-01T15:00:00.850,0.850,51,WG,R_Knee,0x21,2,51,2.236,-0.969,+0.104,+0.120,+12.3,+16.5,+3.7,+0.893,-0.097,+0.439,29.0
